author;year;title;journal;pages;place;taxa;region;number
Aaron, S.F.;1894;The bold robber fly;Entomological News 5;110-112;Vincentown;Asilus/;/Nearc:/;14
Aartsen, B. van;1992;Vangsten van Neoitamus socius, Machimus rusticus en Choerades fulvus in Nederland (Diptera: Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 52;120;Amsterdam;Neoitamus/Choerades/;/Palae:/Europe/Netherlands/;15
Aartsen, B. van & Goot, V.S. van der;1981;De jachtgewoonten van een aantal roofvliegen in Nederland (Diptera, Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 41(7);97-101;Amsterdam;;/Palae:/Europe/Netherlands/;16
Abbassian-Lintzen, R.;1964;Asilidae (Diptera) of Iran. I. Robber flies belonging to the subfamilies Laphriinae and Dasypogoninae (with description of new species);Annals and Magazine of Natural History 13(7);417-435;London;Eremisca/Laphriini/Laphria/Choerades/Dasypogoninae/n.sp./;/Palae:/Iran/;17
Abbassian-Lintzen, R.;1964;Asilidae (Diptera) of Iran. II. Notes on the genus Eremisca Zin. and description of E.schahgudiani n.sp.;Annals and Magazine of Natural History 13(7);547-552;London;Eremisca n.sp./;/Palae:/Iran/;18
Adamovic, Z.R.;1949;La mouche rapace Dasypogon teutonus L. comme l`ennemie des abeilles (in serbisch);*Arch. Sci. Biol., Belgrade 1;266-269;?;Molobratia teutonus/Hymenoptera/Apis/;/Palae:/;35
Adamovic, Z.R.;1950;Contribution à la connaissance de Dysmachus bilobus Löw (Asilidae);*Ann. Inst. Biol. Sarajevo 3;205-212;Sarajevo;Dysmachus/;/Palae:/;36
Adamovic, Z.R.;1950;Seconde contribution à l`étude des Asilides comme les ennemis des abeille (in serbisch);*Arch. Sci. Biol., Belgrade 2;74-79;?;Selidopogon/Machimus/Hymenoptera/Apis/;/Palae:/;37
Adamovic, Z.R.;1959;Machimus biljici n.sp. (Asilidae, Diptera) aus Srbija;*Bull. Mus. r. Hist. nat. Belg. (B) 14;43-44;Bruxelles;Machimus n.sp./;/Palae:/;38
Adamovic, Z.R.;1963;Ecology of some asilid-species (Asilidae, Diptera) and their relation to honeybees (Apis mellifera L.);*Mus. Hist. Nat. Beograd 1963;1-104;Beograd;Hymenoptera/Apis/;/Palae:/;39
Adamovic, Z.R.;1963;The feeding habits of some asilid species (Asilidae, Diptera) in Yugoslavia;Archiv bioloskih Nauka 15(1-2);37-74;Beograd;;/Palae:/Yugoslavia/;40
Adamovic, Z.R.;1964;Robber flies position in the biotic community (Diptera, Asilidae);Zastita prirode 27-28;221-227;Beograd;Laphria/Molobratia/;/Palae:/;41
Adamovic, Z.R.;1966;Ecological differences of some closely related species;Ekologija 1;121-131;Beograd;Echthistus/;/Palae:/;42
Adamovic, Z.R.;1968;Feeding-habits of some robber flies preying upon Orthoptera;Ekologiia 3;119-132;Sofia;Stenopogon/Philonicus/Dysmachus/Machimus/Orthoptera/;/Palae:/;43
Adamovic, Z.R.;1971;The distribution of robber flies (Diptera, Asilidae) in Djevdjeliska Kotlina, Yugoslavia;Bulletin du Muséum d`Histoire Naturelle de Beograd (Prirodnjacki Muzej Beograd) (B)26;79-114;Beograd;;/Palae:/Yugoslavia/;45
Adamovic, Z.R.;1972;Bee-killing robber flies (Diptera, Asilidae) in the area of Ulcinj, Montenegro;Acta entomologica Jugoslavica 8(1-2);33-37;Zagreb;Molobratia/Dasypogon/Hymenoptera/Apis/;/Palae:/;46
Adamovic, Z.R.;1972;Habitat distribution of the robber flies (Diptera, Asilidae) in the district of Ulcinj, Montenegro;Acta entomologica Jugoslavica 7(2);25-35;Zagreb;;/Palae:/Yugoslavia/;44
Adamovic, Z.R.;1973;The mating behavior and the oviposition of some robber flies (Diptera, Asilidae);Ekologija 7(1-2);207-225;Beograd;;/Palae:/;47
Adamovic, Z.R.;1973;The mating habits and egg-laying of some Echthistus, Eutolmus and Dysmachus species of the robber flies (Diptera, Asilidae);Bulletin du Muséum d`Histoire Naturelle de Beograd (Prirodnjacki Muzej Beograd) (B)28;111-133;Beograd;Echthistus/Eutolmus/Dysmachus/;/Palae:/;48
